item_id,datetime,month,region,mgrs_tile,cloud_cover_pct,B02_blue,B03_green,B04_red,B08_nir,B11_swir16,B12_swir22,NDVI,NDBI,NDMI,BSI
S2A_34SGG_20250526_0_L2A,2025-05-26 09:20:22.754000+00:00,2025-05,Attica,MGRS-34SGG,0.02,0.063274,0.064481,0.066628,0.101981,0.102988,0.079774,0.2097,0.0049,-0.0049,0.013
S2A_34SGG_20250426_0_L2A,2025-04-26 09:20:20.181000+00:00,2025-04,Attica,MGRS-34SGG,5.15,0.068736,0.065866,0.063024,0.096491,0.087908,0.066113,0.2098,-0.0465,0.0465,-0.0452
S2A_35SKB_20240926_0_L2A,2024-09-26 09:20:06.662000+00:00,2024-09,Attica,MGRS-35SKB,0.0,0.046969,0.048257,0.05477,0.085645,0.098382,0.071622,0.2199,0.0692,-0.0692,0.0719
S2B_34SGG_20240825_0_L2A,2024-08-25 09:29:57.813000+00:00,2024-08,Attica,MGRS-34SGG,0.0,0.036456,0.028607,0.025261,0.033928,0.041034,0.03402,0.1464,0.0948,-0.0948,-0.0299
S2A_34SGG_20240728_0_L2A,2024-07-28 09:20:08.457000+00:00,2024-07,Attica,MGRS-34SGG,0.02,0.06147,0.061448,0.065708,0.093927,0.104448,0.078674,0.1768,0.053,-0.053,0.0453
S2A_34SGG_20240628_0_L2A,2024-06-28 09:20:08.647000+00:00,2024-06,Attica,MGRS-34SGG,0.1,0.067915,0.068664,0.073501,0.101708,0.112535,0.085533,0.161,0.0505,-0.0505,0.0462
S2A_35SKB_20240529_0_L2A,2024-05-29 09:20:07.011000+00:00,2024-05,Attica,MGRS-35SKB,0.1,0.062057,0.063987,0.070168,0.107351,0.117271,0.089367,0.2095,0.0442,-0.0442,0.0505
S2A_34SGG_20240429_0_L2A,2024-04-29 09:20:08.509000+00:00,2024-04,Attica,MGRS-34SGG,0.23,0.054709,0.056009,0.058308,0.096454,0.094556,0.070847,0.2465,-0.0099,0.0099,0.0056
S2A_35SKB_20230922_0_L2A,2023-09-22 09:20:06.492000+00:00,2023-09,Attica,MGRS-35SKB,0.0,0.039677,0.052027,0.060324,0.096833,0.107537,0.081084,0.2323,0.0524,-0.0524,0.103
S2B_34SGG_20230828_0_L2A,2023-08-28 09:20:10.350000+00:00,2023-08,Attica,MGRS-34SGG,0.0,0.05634,0.050191,0.050908,0.073304,0.085985,0.067345,0.1803,0.0796,-0.0796,0.0272
S2B_34SGG_20230729_0_L2A,2023-07-29 09:20:11.425000+00:00,2023-07,Attica,MGRS-34SGG,0.01,0.059701,0.055077,0.056859,0.082043,0.095568,0.077137,0.1813,0.0762,-0.0762,0.0363
S2A_34SFG_20230624_0_L2A,2023-06-24 09:20:12.113000+00:00,2023-06,Attica,MGRS-34SFG,0.0,0.029005,0.022367,0.016388,0.031419,0.030103,0.021412,0.3144,-0.0214,0.0214,-0.1303
S2A_35SKC_20230525_0_L2A,2023-05-25 09:19:53.815000+00:00,2023-05,Attica,MGRS-35SKC,4.31,0.118977,0.131635,0.134078,0.23058,0.209737,0.156436,0.2646,-0.0473,0.0473,-0.0083
S2B_35SKB_20230420_0_L2A,2023-04-20 09:20:06.778000+00:00,2023-04,Attica,MGRS-35SKB,2.42,0.085685,0.079964,0.078111,0.117788,0.104268,0.082408,0.2025,-0.0609,0.0609,-0.0547
S2A_34SFG_20220930_0_L2A,2022-09-30 09:30:12.059000+00:00,2022-09,Attica,MGRS-34SFG,0.0,0.017278,0.010455,0.005546,0.013211,0.012943,0.009295,0.4087,-0.0103,0.0103,-0.245
S2A_35SKB_20220828_0_L2A,2022-08-28 09:20:17.338000+00:00,2022-08,Attica,MGRS-35SKB,0.22,0.048976,0.05041,0.054092,0.086382,0.099373,0.074354,0.2299,0.0699,-0.0699,0.0627
S2A_34SFG_20220729_0_L2A,2022-07-29 09:20:18.426000+00:00,2022-07,Attica,MGRS-34SFG,0.0,0.033487,0.027083,0.022088,0.037739,0.03685,0.026834,0.2616,-0.0119,0.0119,-0.0944
S2A_35SKB_20220629_0_L2A,2022-06-29 09:20:17.717000+00:00,2022-06,Attica,MGRS-35SKB,1.77,0.123891,0.121861,0.125427,0.1578,0.1614,0.126914,0.1143,0.0113,-0.0113,0.009
S2A_34SFG_20220530_0_L2A,2022-05-30 09:20:16.678000+00:00,2022-05,Attica,MGRS-34SFG,0.43,0.039886,0.036472,0.031069,0.048223,0.045729,0.034859,0.2163,-0.0265,0.0265,-0.0686
S2B_35SKB_20220425_0_L2A,2022-04-25 09:19:58.630000+00:00,2022-04,Attica,MGRS-35SKB,0.04,0.056898,0.057123,0.057076,0.105358,0.095392,0.072991,0.2972,-0.0496,0.0496,-0.0311
S2B_34SFG_20210927_1_L2A,2021-09-27 09:20:07.668000+00:00,2021-09,Attica,MGRS-34SFG,0.0,0.022734,0.01181,0.008688,0.022984,0.022144,0.01499,0.4514,-0.0186,0.0186,-0.1945
S2A_34SGG_20210826_0_L2A,2021-08-26 09:29:59.006000+00:00,2021-08,Attica,MGRS-34SGG,0.04,0.047507,0.044416,0.040091,0.047269,0.045263,0.035019,0.0822,-0.0217,0.0217,-0.0523
S2B_34SFG_20210729_1_L2A,2021-07-29 09:20:10.716000+00:00,2021-07,Attica,MGRS-34SFG,0.0,0.030783,0.022797,0.019565,0.035739,0.035609,0.025772,0.2925,-0.0018,0.0018,-0.0933
S2B_34SGG_20210629_1_L2A,2021-06-29 09:20:06.839000+00:00,2021-06,Attica,MGRS-34SGG,0.0,0.066281,0.061736,0.06252,0.09254,0.100243,0.07923,0.1936,0.04,-0.04,0.0123
S2A_34SFH_20210528_0_L2A,2021-05-28 09:29:51.373000+00:00,2021-05,Attica,MGRS-34SFH,6.39,0.083599,0.108076,0.126331,0.239501,0.224622,0.160147,0.3094,-0.0321,0.0321,0.0413
S2B_35SKB_20210430_1_L2A,2021-04-30 09:20:00.661000+00:00,2021-04,Attica,MGRS-35SKB,0.04,0.044821,0.046746,0.048734,0.096674,0.096181,0.073738,0.3297,-0.0026,0.0026,0.0119
S2A_34SFG_20200930_1_L2A,2020-09-30 09:30:10.418000+00:00,2020-09,Attica,MGRS-34SFG,0.0,0.023044,0.01777,0.013155,0.022285,0.020775,0.016517,0.2576,-0.0351,0.0351,-0.1438
S2A_34SFG_20200828_1_L2A,2020-08-28 09:20:14.081000+00:00,2020-08,Attica,MGRS-34SFG,0.0,0.021279,0.015443,0.010405,0.028578,0.024527,0.016227,0.4662,-0.0763,0.0763,-0.176
S2A_34SFG_20200729_1_L2A,2020-07-29 09:20:14.637000+00:00,2020-07,Attica,MGRS-34SFG,0.0,0.033558,0.027828,0.022997,0.041303,0.037769,0.02764,0.2847,-0.0447,0.0447,-0.1039
S2A_34SFH_20200629_1_L2A,2020-06-29 09:19:59.325000+00:00,2020-06,Attica,MGRS-34SFH,0.01,0.060619,0.088979,0.106495,0.223692,0.234782,0.168348,0.3549,0.0242,-0.0242,0.0911
S2A_35SKB_20200530_0_L2A,2020-05-30 09:20:10.989000+00:00,2020-05,Attica,MGRS-35SKB,9.71,0.075079,0.075236,0.077268,0.120238,0.115783,0.08879,0.2176,-0.0189,0.0189,-0.0058
S2A_34SGG_20200430_1_L2A,2020-04-30 09:20:08.721000+00:00,2020-04,Attica,MGRS-34SGG,7.86,0.061726,0.061646,0.059957,0.103721,0.089509,0.067166,0.2674,-0.0735,0.0735,-0.0507
